998,"Where are the glomeruli and what do they do?","Where are the glomeruli and what do they do?Renal cortex. Filter blood from the afferent arterioles.<div><br /></div><div><img src=""paste-23141283791373.jpg"" /></div>"
999,"Histological structure of normal glomerulus","Histological structure of normal glomerulus<img src=""paste-23192823398919.jpg"" /><div><br /></div><div><b>Urinary pole</b> where urine flows out is on far side.</div><div><b>Vascular pole</b> where blood comes and leaves is on the close side (afferent and efferent)</div><div><br /></div><div>1) Surrounds glomerulus</div><div>2) Line Bowman's space</div><div>3) Where urine is filtered into</div><div>4) Coat the glomerular ""tuft""</div><div>5) Little thin loops within the tuft</div><div>6) Basement membrane of capillaries</div><div>7) Afferent arteriole cells</div><div>8) Branched structure in the middle of the glomerular tuft, means ""middle vessels"", capillaries wind themselves around the mesangium</div>"
1000,"EM of Glomerulus; name the parts","EM of Glomerulus; name the parts<img src=""paste-23330262352402.jpg"" /><div><br /></div><div>1) Makes foot processes</div><div>2) Provides basement membrane for blood to be filtered across</div><div>3) Divides inner portion of capillary loop from urinary space</div><div>4) Where the blood input comes from</div><div>5) Matrix for capillaries to wind around</div><div>6) From the visceral epithelial cells, they line outer part of capillary loop</div><div>7) The space between foot processes and endothelial fenestrations</div><div>8) The blood side of the filter</div><div><br /></div><div><br /></div><div><img src=""paste-23394686861843.jpg"" /></div><div><br /></div><div>Don't need to distinguish the layers of the lamina</div>"
1001,"Immune Mediated glomerular disease types","<b>Immune Mediated</b> glomerular disease types<img src=""paste-46063524249886.jpg"" /><div><br /></div>"
1002,"Define diffuse, focal, global, and segmental disease","Define <b>diffuse</b>, <b>focal</b>, <b>global</b>, and <b>segmental</b> disease<img src=""paste-23463406338285.jpg"" /><div><br /></div><div>1) Most or all glomeruli are involved</div><div><br /></div><div>2) Some glomeruli involved</div><div><br /></div><div>3) Entire glomerulus</div><div><br /></div><div>4) Part of glomerulus</div>"
1003,"3 main presentations of Glomerular Disease","3 main presentations of Glomerular Disease<img src=""paste-23549305684471.jpg"" /><div><br /></div><div>RPGN</div><div><br /></div><div><img src=""paste-50508815401215.jpg"" /></div><div><br /></div><div><img src=""paste-50620484550917.jpg"" /></div><div><br /></div><div><img src=""paste-50641959387394.jpg"" /></div>"
1004,"Acute Nephritic Syndrome","<b>Acute Nephritic Syndrome</b><img src=""paste-23618025161205.jpg"" /><div><br /></div><div><img src=""paste-49538152792317.jpg"" /><br /><div><br /></div><div><img src=""paste-46737834115303.jpg"" /><br /><div><br /></div><div><img src=""paste-46716359279008.jpg"" /></div><div><br /></div></div></div>"
1005,"RPGN clinical signs and symptoms","<b>RPGN</b> clinical signs and symptoms<img src=""paste-23746874180084.jpg"" /><div><br /></div><div><img src=""paste-51135880626436.jpg"" /></div><div><br /></div><div>Signs and symptoms of <b>severe nephritic syndrome</b></div>"
1006,"Nephrotic Syndrome","<b>Nephrotic Syndrome</b><img src=""paste-23815593656740.jpg"" /><div><br /></div><div>Due to altered foot processes of visceral epithelium<br /><div><br /></div><div><img src=""paste-50122268344576.jpg"" /></div></div>"
1007,"Causes of nephrotic syndrome","Causes of <b>nephrotic syndrome</b><div>Mostly:</div><div><br /></div><div>- <b>Minimal change disease</b> in <b>children</b></div><div><b><br /></b></div><div><b><img src=""paste-64656437674243.jpg"" /></b></div><div><b><br /></b></div><div>- <b>Focal segmental glomerulonephritis</b>&nbsp;and&nbsp;</div><div><b>- Membranous glomerulopathy</b> in <b>adults</b></div><div><b><br /></b></div><div>Can also be caused by <b>systemic diseases&nbsp;</b></div><div><br /></div><img src=""paste-23858543329792.jpg"" /><div><br /></div><div><br /></div>"
